# id network 	 title 
# Community0
82	Cercado por la Justicia y sin apoyo, Echegaray dejó la AGN
125	Designaron al peronista Lamberto en la Auditoría
146	La delicada salud de Das Neves agita el debate político en Chubut
162	Los dilemas que traban la recuperación del PJ
204	El PJ bonaerense y el kirchnerismo ensayan un acercamiento
219	"En el peronismo no hay un liderazgo; ese es el gran desafío"
220	Una reunión para bajar la tensión en el peronismo
235	El PJ se reunió, pero evitó una definición por el futuro electoral
270	Los nuevos gobernadores del PJ desafían al kirchnerismo y empujan la renovación
274	Lamberto: "Los bolsos de López son como el cajón de Herminio"
289	Juan Manuel Abal Medina: "El peronismo requiere una segunda renovación partidaria"
347	Urtubey busca recuperar terreno en el PJ y se acerca a los gobernadores
365	Nuevos intentos en el PJ para diferenciarse del kirchnerismo
436	El peronismo territorial busca postularse como la renovación
451	La reunión de los "renovadores" agitó los ánimos en el PJ
518	El PJ reunió a los de siempre, con aires de renovación
520	Se partió el FPV en la Legislatura porteña
556	Urtubey celebró la "renovación peronista"
651	Urgido de un candidato, el PJ apuesta otra vez a la vuelta de Randazzo
# Community10
41	Entre licitaciones y parate: cómo fue la obra pública del primer semestre
150	Cartelización: la génesis de la corrupción en la obra pública
198	Piden indagar a Cristina Kirchner por haber favorecido a Lázaro Báez
199	"Crear" a un empresario y llenarlo de negocios, el eje de la acusación
200	Un impulso a la lista de casos de corrupción
256	Cristóbal López se quedó con una obra de Báez
277	Surgen nuevas evidencias de contratos irregulares de obra pública para favorecer a Báez
346	Reclaman pymes por obras en Educación
465	Cristóbal López se quedó con las obras que Báez no terminó
471	Desviaron fondos de rutas para Tecnópolis y la Quinta de Olivos
502	Insisten en el pedido de indagar a Cristina y presentan 227 pruebas
504	Fábrega, en la mira por los créditos a Báez
507	Fábrega, en la mira por los créditos a Báez
610	Los cuatros pasos de la maniobra sospechosa
611	Cristina fue llamada a indagatoria en una causa por corrupción
615	La instancia judicial más grave, pero no la última
723	Graves sospechas en una obra que financió López en su ciudad natal
1090	Cristina pidió la nulidad de su indagatoria y denunció una "persecución"
# Community11
254	Yang Wanming: "Estamos a la expectativa de que la economía argentina pueda recuperarse lo antes posible"
398	Macri viaja a China con el foco puesto en las inversiones y en seis encuentros bilaterales
423	Macri partió a la cumbre del G-20 en China
447	En una escala de su viaje a China, Macri ratificó coincidencias con el emir de Qatar
457	Macri llegó a China con la intención de mostrarse como líder regional
458	Un lugar asegurado en la agenda de la cumbre empresaria
459	Fuera del protocolo
473	Macri pidió dejar atrás el aislamiento y logró promesas de inversión
475	Xi Jinping mostró interés por el petróleo y el mar argentino
479	Postales orientales
480	Obama renovó los elogios al Presidente
